name                                     Block                Expression           Toggle               Statement            Fsm Average          Fsm Covered          Assertion            CoverGroup Average   CoverGroup Covered   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
top                                      100.00% (17/17)      100.00% (7/7)        63.91% (108/169)     n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
|--apbMaster                             68.00% (17/25)       n/a                  64.94% (113/174)     n/a                  87.50%               85.71% (6/7)         50.00% (1/2)         n/a                  n/a                  
|--apb_checker                           90.91% (20/22)       66.67% (8/12)        18.77% (58/309)      n/a                  n/a                  n/a                  100.00% (9/9)        n/a                  n/a                  
| |--genRecmStbChks                      n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  100.00% (2/2)        n/a                  n/a                  
| |--stable_checks                       n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  100.00% (5/5)        n/a                  n/a                  
| |--genRecmTrnChks                      n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  100.00% (1/1)        n/a                  n/a                  
| |--genLiveChks                         n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  100.00% (1/1)        n/a                  n/a                  
| |--genCov                              n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  64.29% (9/14)        n/a                  n/a                  
| | |--nnw                               n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  50.00% (1/2)         n/a                  n/a                  
| |--genCG                               n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  77.78%               73.33% (11/15)       
